0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0.0304825,0.0204075,0.0402708,0.03774715,0.0105138,0.0224719,0.011847,0.0228807,0.0159556,-0.0056373,0.02636141,-0.0003797,0.0403356,0.02940405,0.0178926,0.04290781,0.0282766,0.0303574,0.02157165,0.02783835,0.0262098,0.01485885,0.03091,0.03471325,0.0234354,0.0521451,0.0281583,0.0254951,0.0200542,0.03048415,0.046323,0.0209868,0.0377199,0.02239995,0.0274915,0.0236346,0.02875715,0.0242042,0.0383888,0.03407995,0.02900238,0.0306968,0.0163459,0.0232326,0.02208225,0.0316766,0.03056265,0.0188235,0.0125078,0.005072,0.02298575,0.0098479,0.0374788,-0.0008897,0.0152477,0.012349,0.0292703,0.0376086,0.02081355,0.0348736,0.0341823,0.0110367,0.01270015,0.0428457,0.02143285,-0.0085509,0.0220687
0.0271667,0.02117024,0.03445785,0.04579275,0.0089132,0.01455465,0.00995186,0.00640105,0.0156507,0.0142238,0.02785981,2.42e-05,0.0441523,0.0271809,0.0233553,0.05224545,0.0490591,0.041614,0.0158966,0.0223601,0.0279835,0.0263976,0.0137834,0.03925795,0.0216182,0.0548144,0.025817,0.0282137,0.0361128,0.04224595,0.0434333,0.01731165,0.04775665,0.0321864,0.0183041,0.0309812,0.03697365,0.032211,0.02448885,0.0368309,0.02904458,0.0350959,0.0344507,0.0384873,0.0259736,0.0409889,0.02876294,0.0306675,0.01884795,0.01125815,0.03280378,0.0150965,0.0262455,0.0004397,0.0307018,0.0211444,0.0265834,0.038191,0.03235515,0.0420124,0.0263923,0.019471,0.0122875,0.0460966,0.0313964,0.0018541,0.0146956
0.0417089,0.024233,0.02404985,0.03989305,0.019403,0.03067515,0.0122302,0.00443635,0.0227477,0.0182473,0.02904185,0.0256568,0.0488208,0.0290559,0.0460991,0.05350575,0.0579547,0.0452086,0.0226919,0.0180907,0.0243738,0.0197934,0.0182299,0.02374075,0.0197237,0.0526016,0.03843165,0.0276035,0.0392082,0.0423004,0.038147,0.02907205,0.0554374,0.04481335,0.0243429,0.033527,0.03505195,0.028497,0.02203265,0.04586445,0.03724773,0.0375746,0.0260223,0.0509641,0.0233606,0.0400358,0.0287998,0.042435,0.01673795,-0.00183195,0.03534283,0.0097298,0.0337956,0.00362385,0.0405346,0.0137368,0.0251495,0.0339811,0.03277158,0.0353225,0.0253415,0.0183983,0.03090525,0.0430693,0.02649,0.0035306,0.0169574
0.0362491,0.0374517,0.01353055,0.0453729,0.0244111,0.01613895,0.0199077,0.03435865,0.0297859,0.0294925,0.04352495,0.0406281,0.0484631,0.0229609,0.0546025,0.05890009,0.0499186,0.03816085,0.03750835,0.0137796,0.0332121,0.02283085,0.0097633,0.03683385,0.019171,0.0603307,0.05771245,0.0310134,0.0487862,0.04112415,0.03190505,0.03203185,0.0547533,0.0445524,0.0335098,0.038506,0.0376631,0.05250715,0.04436015,0.0345113,0.03140033,0.050165,0.0238981,0.0477454,0.0191474,0.0518822,0.04005585,0.0610993,0.02387155,0.0169857,0.03259348,0.0295008,0.0427099,0.01476685,0.02986545,0.0253348,0.0258436,0.0516589,0.03603026,0.0294079,0.03543125,0.0258162,0.02853455,0.0387931,0.0391952,-0.00589855,0.0098841
0.0360085,0.033304,0.00266035,0.0483342,0.0455275,0.0180617,0.0310429,0.0443893,0.0335198,0.0454549,0.04580335,0.0260663,0.0423497,0.0279939,0.0590034,0.05053639,0.0672215,0.03203975,0.04852235,0.01564865,0.0294819,0.03649975,0.0030362,0.0448417,0.0215344,0.0544219,0.0555387,0.04094245,0.0549033,0.043481,0.0338863,0.03121828,0.07370285,0.0507455,0.0603214,0.052243,0.0485693,0.0446822,0.0395486,0.0206042,0.03025858,0.0453082,0.0287261,0.0524707,0.0262962,0.0430653,0.0304907,0.0665292,0.0250223,0.033776,0.04227908,0.0416108,0.04949485,0.0218204,0.0282779,0.0190995,0.02559055,0.0487491,0.0496558,0.034547,0.0314953,0.0302456,0.03707735,0.048342,0.0486637,-0.00620525,0.03198675
0.0322384,0.04550725,0.0042183,0.0510615,0.0433794,0.0346345,0.0288448,0.0529507,0.0319146,0.0487641,0.0418234,0.0267224,0.0426708,0.0320411,0.0615241,0.06345224,0.0660378,0.0354392,0.0496195,0.02822995,0.0507419,0.0341847,0.0105875,0.0434381,0.0373489,0.06143013,0.0540906,0.0502947,0.0526523,0.03756665,0.0268359,0.03255468,0.0701829,0.0483922,0.0643861,0.0621516,0.05189535,0.0291066,0.04734795,0.0205091,0.01580276,0.0488848,0.0420156,0.0311731,0.0298163,0.0459823,0.0261246,0.0784803,0.02689755,0.0479736,0.045543,0.0412232,0.04230985,0.03050535,0.03997605,0.0200254,0.02311755,0.0504743,0.04895745,0.0381543,0.0382207,0.0476389,0.0369195,0.0500391,0.0357527,0.0085983,0.05757735
0.0420534,0.05793055,0.0088452,0.0604438,0.0389069,0.0393011,0.03031005,0.0594383,0.04294635,0.0545817,0.0523948,0.0269968,0.0306952,0.0329457,0.0727626,0.06441194,0.0840833,0.040374,0.06458,0.04893395,0.0526342,0.03751065,0.0232622,0.04213385,0.04941,0.06673933,0.0560081,0.05147885,0.0683414,0.04522455,0.056003,0.04015778,0.0874151,0.0504461,0.0772075,0.0598081,0.0463388,0.0314313,0.0456796,0.0361342,0.00814146,0.0500254,0.036001,0.04767745,0.024386,0.0432581,0.0504401,0.0791586,0.02063075,0.0499326,0.0524861,0.0429869,0.0361007,0.03852945,0.0309138,0.0392889,0.02538725,0.0859838,0.0497827,0.0459716,0.0391022,0.0328611,0.04112685,0.04775765,0.0387207,0.01205195,0.04695285
0.0445428,0.07604,0.0107973,0.0728127,0.0319081,0.0547545,0.0346779,0.05509085,0.0348347,0.0356326,0.0655888,0.0589961,0.03985315,0.02605,0.0763612,0.0805303,0.0822388,0.0390133,0.0609808,0.05327625,0.0479239,0.0457607,0.04197675,0.0413775,0.0537323,0.06976148,0.0501418,0.0643188,0.0791484,0.04917065,0.0548643,0.05280325,0.0835813,0.05717136,0.074386,0.0619207,0.0564003,0.02193785,0.0390548,0.0469465,0.03668755,0.0746143,0.0533789,0.0337256,0.0412844,0.0566792,0.04670795,0.0879307,0.0277981,0.0596284,0.0539437,0.04893,0.0480682,0.0439816,0.0293818,0.0549644,0.02645905,0.1062964,0.05665325,0.0431399,0.03672645,0.0437102,0.0498129,0.04250545,0.0317671,0.01892005,0.05700565
0.0478031,0.0727112,0.0197106,0.0721613,0.0416339,0.05417475,0.02968365,0.06634985,0.03865685,0.0519068,0.0606259,0.0661917,0.04231615,0.038362,0.0686577,0.0788676,0.0712587,0.0375735,0.0675502,0.04602785,0.059094,0.0559387,0.0470906,0.0351659,0.0671656,0.075593,0.0635434,0.0566674,0.0765538,0.05009465,0.0766997,0.0542095,0.1060342,0.06541636,0.0865921,0.0651559,0.056662,0.0383817,0.0396037,0.0531189,0.03191775,0.0726506,0.0615419,0.0561819,0.04515,0.0653817,0.05648785,0.0829085,0.0322335,0.053953,0.0512389,0.0583352,0.0525855,0.0433945,0.01966125,0.0523173,0.0329302,0.1007411,0.06628755,0.0529704,0.0491198,0.0397902,0.0491767,0.0417895,0.0477132,0.0307171,0.0591674
0.04618305,0.0872904,0.0087537,0.0671826,0.0443052,0.05209215,0.0394525,0.0663082,0.05302055,0.0500667,0.0629435,0.0626519,0.048801,0.0463912,0.0663885,0.0799581,0.0969669,0.0428543,0.084282,0.06113565,0.0630873,0.0580687,0.0649742,0.0540354,0.077029,0.0799185,0.063702,0.0515046,0.0774314,0.06109495,0.0914343,0.04535165,0.0896882,0.07126095,0.0838941,0.0543381,0.0697871,0.028314,0.0501768,0.0729525,0.04025525,0.072862,0.0635113,0.0380624,0.0473236,0.0648223,0.0597067,0.0813124,0.03032475,0.0826028,0.0542829,0.0540964,0.0496241,0.0420654,0.03378275,0.0635878,0.03110495,0.0948644,0.05323585,0.0697134,0.0512096,0.0343012,0.04753415,0.0504589,0.0673501,0.0287952,0.0703027
