experiment,response,config,dataset_name,dataset_path,time_col,event_col,execution,response_file,y_raw,population,generations,rate_policy,alpha,y,response_transform,transform_epsilon
topk_quality,mean_rule_score,-1_+1,cancer,datasets\files\cancer.parquet,time,status,7,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_+1\cancer\complement\cancer_7_complement_DetailedRules.csv,0.9092653677855982,500,500,adaptive,0.1,2.304697868515721,logit,1e-06
topk_quality,mean_rule_score,-1_+1,cancer,datasets\files\cancer.parquet,time,status,8,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_+1\cancer\complement\cancer_8_complement_DetailedRules.csv,0.9003434240449998,500,500,adaptive,0.1,2.201046237814196,logit,1e-06
topk_quality,mean_rule_score,-1_+1,cancer,datasets\files\cancer.parquet,time,status,9,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_+1\cancer\complement\cancer_9_complement_DetailedRules.csv,0.9042391617205038,500,500,adaptive,0.1,2.245240069653444,logit,1e-06
topk_quality,mean_rule_score,+1_+1,cancer,datasets\files\cancer.parquet,time,status,0,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_+1\cancer\complement\cancer_0_complement_DetailedRules.csv,0.5627567349700258,500,500,adaptive,0.7,0.2523577369150214,logit,1e-06
topk_quality,mean_rule_score,+1_+1,cancer,datasets\files\cancer.parquet,time,status,10,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_+1\cancer\complement\cancer_10_complement_DetailedRules.csv,0.5779848121019364,500,500,adaptive,0.7,0.31450628801874336,logit,1e-06
topk_quality,mean_rule_score,+1_+1,cancer,datasets\files\cancer.parquet,time,status,11,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_+1\cancer\complement\cancer_11_complement_DetailedRules.csv,0.5708853652893302,500,500,adaptive,0.7,0.28546433117554254,logit,1e-06
topk_quality,mean_rule_score,+1_+1,cancer,datasets\files\cancer.parquet,time,status,12,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_+1\cancer\complement\cancer_12_complement_DetailedRules.csv,0.5793086678632487,500,500,adaptive,0.7,0.3199360536871854,logit,1e-06
topk_quality,mean_rule_score,+1_+1,cancer,datasets\files\cancer.parquet,time,status,13,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_+1\cancer\complement\cancer_13_complement_DetailedRules.csv,0.5764365465474632,500,500,adaptive,0.7,0.30816193302603817,logit,1e-06
topk_quality,mean_rule_score,+1_+1,cancer,datasets\files\cancer.parquet,time,status,14,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_+1\cancer\complement\cancer_14_complement_DetailedRules.csv,0.568807672226021,500,500,adaptive,0.7,0.2769881401358995,logit,1e-06
topk_quality,mean_rule_score,+1_+1,cancer,datasets\files\cancer.parquet,time,status,1,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_+1\cancer\complement\cancer_1_complement_DetailedRules.csv,0.6006032776380026,500,500,adaptive,0.7,0.4079793982636419,logit,1e-06
topk_quality,mean_rule_score,+1_+1,cancer,datasets\files\cancer.parquet,time,status,2,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_+1\cancer\complement\cancer_2_complement_DetailedRules.csv,0.6020156226600237,500,500,adaptive,0.7,0.41387064463520135,logit,1e-06
topk_quality,mean_rule_score,+1_+1,cancer,datasets\files\cancer.parquet,time,status,3,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_+1\cancer\complement\cancer_3_complement_DetailedRules.csv,0.5650446736328435,500,500,adaptive,0.7,0.2616614685890698,logit,1e-06
topk_quality,mean_rule_score,+1_+1,cancer,datasets\files\cancer.parquet,time,status,4,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_+1\cancer\complement\cancer_4_complement_DetailedRules.csv,0.5911570806105353,500,500,adaptive,0.7,0.36875074782550693,logit,1e-06
topk_quality,mean_rule_score,+1_+1,cancer,datasets\files\cancer.parquet,time,status,5,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_+1\cancer\complement\cancer_5_complement_DetailedRules.csv,0.5974991240499612,500,500,adaptive,0.7,0.3950555446497832,logit,1e-06
topk_quality,mean_rule_score,+1_+1,cancer,datasets\files\cancer.parquet,time,status,6,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_+1\cancer\complement\cancer_6_complement_DetailedRules.csv,0.5926866782508944,500,500,adaptive,0.7,0.3750831705823431,logit,1e-06
topk_quality,mean_rule_score,+1_+1,cancer,datasets\files\cancer.parquet,time,status,7,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_+1\cancer\complement\cancer_7_complement_DetailedRules.csv,0.5813121671537252,500,500,adaptive,0.7,0.328162292181738,logit,1e-06
topk_quality,mean_rule_score,+1_+1,cancer,datasets\files\cancer.parquet,time,status,8,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_+1\cancer\complement\cancer_8_complement_DetailedRules.csv,0.5734528052195901,500,500,adaptive,0.7,0.295952623826609,logit,1e-06
topk_quality,mean_rule_score,+1_+1,cancer,datasets\files\cancer.parquet,time,status,9,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_+1\cancer\complement\cancer_9_complement_DetailedRules.csv,0.5879857412149045,500,500,adaptive,0.7,0.35564474051773654,logit,1e-06
