experiment,response,config,dataset_name,dataset_path,time_col,event_col,execution,response_file,y_raw,population,dataset_level,generations,rate_policy,y,response_transform,I,q0,y_hat_main_effects,y_hat_full_factorial,A,B,AB,residual_main_effects,treatment_mean,full_factorial_minus_treatment_mean,residual_full_factorial,experiment_order,abs_residual_full_factorial,squared_residual_full_factorial
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,1,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_1_complement_Info.csv,29.498576402664185,50,low,500,adaptive,3.3843420046445343,log,1,4.904838057424828,3.1722344818115022,3.156740333345275,-1,-1,1,0.21210752283303203,3.1567403333452746,4.440892098500626e-16,0.22760167129925923,47,0.22760167129925923,0.051802520778216045
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,2,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_2_complement_Info.csv,23.41221117973328,50,low,500,adaptive,3.153257731537502,log,1,4.904838057424828,3.1722344818115022,3.156740333345275,-1,-1,1,-0.018976750274000143,3.1567403333452746,4.440892098500626e-16,-0.0034826018077729337,48,0.0034826018077729337,1.2128515351503306e-05
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,3,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_3_complement_Info.csv,22.558439254760746,50,low,500,adaptive,3.1161092422668504,log,1,4.904838057424828,3.1722344818115022,3.156740333345275,-1,-1,1,-0.05612523954465187,3.1567403333452746,4.440892098500626e-16,-0.040631091078424664,49,0.040631091078424664,0.0016508855622232403
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,4,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_4_complement_Info.csv,22.640218019485477,50,low,500,adaptive,3.1197278831245465,log,1,4.904838057424828,3.1722344818115022,3.156740333345275,-1,-1,1,-0.05250659868695573,3.1567403333452746,4.440892098500626e-16,-0.03701245022072852,50,0.03701245022072852,0.0013699214713419068
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,5,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_5_complement_Info.csv,16.74304509162903,50,low,500,adaptive,2.8179829536338348,log,1,4.904838057424828,3.1722344818115022,3.156740333345275,-1,-1,1,-0.3542515281776675,3.1567403333452746,4.440892098500626e-16,-0.33875737971144027,51,0.33875737971144027,0.11475656230896092
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,6,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_6_complement_Info.csv,25.60800552368164,50,low,500,adaptive,3.242905018368946,log,1,4.904838057424828,3.1722344818115022,3.156740333345275,-1,-1,1,0.0706705365574436,3.1567403333452746,4.440892098500626e-16,0.0861646850236708,52,0.0861646850236708,0.0074243529452284
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,7,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_7_complement_Info.csv,21.908047914505005,50,low,500,adaptive,3.0868540539970915,log,1,4.904838057424828,3.1722344818115022,3.156740333345275,-1,-1,1,-0.0853804278144108,3.1567403333452746,4.440892098500626e-16,-0.06988627934818359,53,0.06988627934818359,0.004884092041132352
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,8,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_8_complement_Info.csv,9.253180027008057,50,low,500,adaptive,2.2249672791467994,log,1,4.904838057424828,3.1722344818115022,3.156740333345275,-1,-1,1,-0.9472672026647029,3.1567403333452746,4.440892098500626e-16,-0.9317730541984757,54,0.9317730541984757,0.8682010245303555
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,9,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_9_complement_Info.csv,40.38407039642334,50,low,500,adaptive,3.6984354100933214,log,1,4.904838057424828,3.1722344818115022,3.156740333345275,-1,-1,1,0.5262009282818192,3.1567403333452746,4.440892098500626e-16,0.5416950767480464,55,0.5416950767480464,0.2934335561730719
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,10,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_10_complement_Info.csv,24.551039695739743,50,low,500,adaptive,3.200754203475753,log,1,4.904838057424828,3.1722344818115022,3.156740333345275,-1,-1,1,0.028519721664250763,3.1567403333452746,4.440892098500626e-16,0.04401387013047797,56,0.04401387013047797,0.001937220763862581
