experiment,response,config,dataset_name,dataset_path,time_col,event_col,execution,response_file,y_raw,population,dataset_level,generations,rate_policy,y,response_transform
runtime,total_time,+1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,12,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_+1\mgus2\complement\mgus2_12_complement_Info.csv,889.8494548797607,1000,high,500,adaptive,6.791052296597909,log
runtime,total_time,+1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,13,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_+1\mgus2\complement\mgus2_13_complement_Info.csv,712.3054642677307,1000,high,500,adaptive,6.568506842255924,log
runtime,total_time,+1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,14,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_+1\mgus2\complement\mgus2_14_complement_Info.csv,1141.6891238689425,1000,high,500,adaptive,7.040264132376893,log
runtime,total_time,+1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,1,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_+1\mgus2\complement\mgus2_1_complement_Info.csv,625.7026398181915,1000,high,500,adaptive,6.438875241979263,log
runtime,total_time,+1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,2,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_+1\mgus2\complement\mgus2_2_complement_Info.csv,1031.3035044670105,1000,high,500,adaptive,6.938578819422534,log
runtime,total_time,+1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,3,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_+1\mgus2\complement\mgus2_3_complement_Info.csv,671.7314283847809,1000,high,500,adaptive,6.509858600496055,log
runtime,total_time,+1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,4,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_+1\mgus2\complement\mgus2_4_complement_Info.csv,825.8632264137268,1000,high,500,adaptive,6.716429174354657,log
runtime,total_time,+1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,5,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_+1\mgus2\complement\mgus2_5_complement_Info.csv,660.5264310836792,1000,high,500,adaptive,6.49303713994247,log
runtime,total_time,+1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,6,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_+1\mgus2\complement\mgus2_6_complement_Info.csv,574.924525976181,1000,high,500,adaptive,6.354238773010253,log
runtime,total_time,+1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,7,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_+1\mgus2\complement\mgus2_7_complement_Info.csv,776.1834766864777,1000,high,500,adaptive,6.654388931264883,log
runtime,total_time,+1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,8,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_+1\mgus2\complement\mgus2_8_complement_Info.csv,657.1384162902832,1000,high,500,adaptive,6.487894675579905,log
runtime,total_time,+1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,9,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_+1\mgus2\complement\mgus2_9_complement_Info.csv,664.8857324123383,1000,high,500,adaptive,6.499615194932334,log
